Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1400,578,DUKECALL,DE,OCSD ACCESS,Interop,OC CCCS
3600,e10,YELLOW-1,DE,North Dispatch,Law Dispatch,OC CCCS
3602,e12,YELLOW-2,DE,Southwest Dispatch,Law Dispatch,OC CCCS
3604,e14,YELLOW-3,DE,Southeast Dispatch,Law Dispatch,OC CCCS
3606,e16,YELLOW-4,DE,South Coast Dispatch,Law Dispatch,OC CCCS
3608,e18,YELLOW-5,DE,Special,Law Tac,OC CCCS
3610,e1a,YELLOW-6,DE,Harbor Patrol Dispatch,Law Dispatch,OC CCCS
3612,e1c,YELLOW-7,DE,John Wayne Airport Dispatch,Law Dispatch,OC CCCS
3650,e42,YELLOW-8,DE,Special,Law Tac,OC CCCS
3614,e1e,YTAC-C1,DE,Countywide Tactical 1,Law Tac,OC CCCS
3616,e20,YTAC-C2,DE,Countywide Tactical 2,Law Tac,OC CCCS
3652,e44,YTAC-C3,DE,Countywide Tactical 3,Law Tac,OC CCCS
3618,e22,YTAC-N1,DE,North Tactical 1,Law Tac,OC CCCS
3620,e24,YTAC-N2,DE,North Tactical 2,Law Tac,OC CCCS
3622,e26,YTAC-S1,DE,South Tactical 1,Law Tac,OC CCCS
3624,e28,YTAC-S2,DE,South Tactical 2,Law Tac,OC CCCS
3626,e2a,YTAC-A1,DE,Airport Tactical,Law Tac,OC CCCS
3628,e2c,SHERIFF CMJ,DE,Mens Central Jail,Corrections,OC CCCS
3630,e2e,SHERIFF CWJ,DE,Womens Central Jail,Corrections,OC CCCS
3632,e30,SHERIFF IRC,DE,Jail Intake/Release Center,Corrections,OC CCCS
3634,e32,SHERIFF TLF,DE,Theo Lacy Facility,Corrections,OC CCCS
3636,e34,SHERIFF JMF,DE,James Musick Facility,Corrections,OC CCCS
3680,e60,SHERIFF COC,DE,Central Justice Center,Corrections,OC CCCS
3682,e62,SHERIFF HOC,DE,Harbor Justice Center Newport,Corrections,OC CCCS
3684,e64,SHERIFF LJC,DE,Lamoreaux Justice Center,Corrections,OC CCCS
3686,e66,SHERIFF NOC,DE,North Justice Center,Corrections,OC CCCS
3688,e68,SHERIFF SAC,DE,Harbor Justice Center Laguna Hills,Corrections,OC CCCS
3690,e6a,SHERIFF SOC,DE,Harbor Justice Center Laguna Niguel,Corrections,OC CCCS
3692,e6c,SHERIFF WOC,DE,West Justice Center,Corrections,OC CCCS
2580,a14,SO Transit 1,D,Transit Primary,Law Tac,OC CCCS
2582,a16,SO Transit 2,DE,Transit Secondary,Law Tac,OC CCCS
2584,a18,OCSD TRANS N,D,OCSD Transit North Cell,Law Tac,OC CCCS
3640,e38,DA GRN 1,DE,District Attorney Countywide,Law Talk,OC CCCS
3642,e3a,DA GRN N,DE,District Attorney North,Law Talk,OC CCCS
3644,e3c,DA GRN S,DE,District Attorney South,Law Talk,OC CCCS
3646,e3e,DA GRN C,DE,District Attorney Central,Law Talk,OC CCCS
91,5b,1A LAB-OPS,DE,1A Laguna Beach Ops,Fire-Tac,OC CCCS
135,87,1C STA-OPS,DE,1C Santa Ana Ops,Fire-Tac,OC CCCS
45,2d,3A COS-DSP,DE,3A Costa Mesa Dispatch,Fire Dispatch,OC CCCS
47,2f,3B COS-TAC,DE,3B Costa Mesa Tac,Fire-Tac,OC CCCS
141,8d,3D STA-TAC,DE,3D Santa Ana Tac,Fire-Tac,OC CCCS
143,8f,3E STA-TAC,DE,3E Santa Ana Tac,Fire-Tac,OC CCCS
193,c1,3F CEN-DSP,DE,3F Dispatch FVY/HTB/NPB,Fire Dispatch,OC CCCS
55,37,3G FVY-TAC,DE,3G Fountain Valley Tac,Fire-Tac,OC CCCS
85,55,3H HTB-TAC,DE,3H Huntington Beach Tac,Fire-Tac,OC CCCS
115,73,3I NPB-TAC,DE,3I Newport Beach Tac,Fire-Tac,OC CCCS
233,e9,3J COS-TAC,DE,3J Costa Mesa Tac,Fire-Tac,OC CCCS
235,eb,3K STA-TAC,DE,3K Santa Ana Tac,Fire-Tac,OC CCCS
237,ed,3L CEN-A/TAC,DE,3L Central Alternate Tac,Fire-Tac,OC CCCS
239,ef,3M CEN-A/TAC,DE,3M Central Alternate Tac,Fire-Tac,OC CCCS
241,f1,3N CEN-A/TAC,DE,3N Central Alternate Tac,Fire-Tac,OC CCCS
243,f3,3O CEN-A/TAC,DE,3O Central Alternate Tac,Fire-Tac,OC CCCS
107,6b,5H LAB-DSP,DE,5H Laguna Beach Tac,Fire-Tac,OC CCCS
139,8b,ORCO DSP,DE,ORCO Dispatch Santa Ana Fire,Fire Dispatch,OC CCCS
